day,infections,hospitalisations,recoveries,deaths
1,1,0,0,0
2,1,0,0,0
3,2,0,0,0
4,2,0,0,0
5,3,0,0,0
6,4,0,0,0
7,5,0,0,0
8,6,1,0,0
9,8,1,0,0
10,9,1,0,0
11,12,1,0,0
12,15,2,0,0
13,19,2,0,0
14,24,2,0,0
15,31,3,1,0
16,39,4,1,0
17,49,5,1,0
18,63,6,1,1
19,80,8,1,1
20,102,10,2,1
21,128,13,2,1
22,165,16,2,1
23,207,21,3,2
24,262,26,4,2
25,332,33,5,3
26,419,42,6,3
27,529,53,8,4
28,674,67,11,5
29,845,85,13,7
30,1064,106,17,8
31,1330,133,21,10
32,1666,167,26,13
33,2073,207,32,16
34,2562,256,41,20
35,3153,315,53,24
36,3845,385,63,32
37,4646,465,78,39
38,5540,554,96,48
39,6531,653,117,59
40,7565,756,140,72
41,8650,865,169,85
42,9689,969,200,99
43,10592,1059,231,115
44,11349,1135,264,133
45,11897,1190,302,150
46,12111,1211,338,168
47,12101,1210,370,185
48,11835,1183,401,201
49,11284,1128,424,212
50,10570,1057,446,224
51,9726,973,462,235
52,8788,879,477,239
53,7858,786,484,238
54,6938,694,482,242
55,6099,610,480,241
56,5296,530,476,234
57,4589,459,461,229
58,3954,395,452,226
59,3416,342,437,217
60,2948,295,421,211
61,2537,254,405,203
62,2198,220,390,193
63,1890,189,367,182
64,1651,165,359,178
65,1430,143,339,168
66,1244,124,318,159
67,1086,109,301,153
68,954,95,286,143
69,836,84,271,135
70,738,74,254,129
71,647,65,238,119
72,575,58,227,114
73,512,51,211,106
74,457,46,202,100
75,407,41,189,93
76,362,36,176,90
77,322,32,166,82
78,289,29,155,78
79,258,26,145,76
80,232,23,137,69
81,210,21,126,65
82,190,19,119,60
83,172,17,112,57
84,154,15,107,52
85,139,14,98,50
86,126,13,92,46
87,116,12,86,43
88,103,10,81,41
89,96,10,76,39
90,85,8,70,35
91,79,8,68,33
92,73,7,63,31
93,65,6,58,29
94,59,6,56,28
95,56,6,51,26
96,50,5,48,24
97,46,5,45,22
98,42,4,43,21
99,39,4,39,20
100,35,3,37,18
101,32,3,34,17
102,30,3,31,15
103,27,3,29,15
104,25,3,27,13
105,23,2,26,13
106,21,2,24,13
107,19,2,22,11
108,18,2,21,10
109,17,2,20,10
110,15,2,18,10
111,15,1,17,9
112,14,1,16,7
113,12,1,15,7
114,11,1,14,7
115,10,1,13,7
116,10,1,12,6
117,9,1,11,6
118,8,1,10,5
119,8,1,10,5
120,7,1,9,5
121,7,1,9,4
122,6,1,9,4
123,6,1,8,3
124,5,1,7,3
125,5,0,7,3
126,5,0,6,3
127,4,0,6,3
128,4,0,5,3
129,4,0,5,3
130,3,0,4,2
131,3,0,4,2
132,3,0,4,2
133,3,0,4,2
134,3,0,4,2
135,2,0,4,2
136,2,0,3,2
137,2,0,3,1
138,2,0,3,1
139,2,0,2,1
140,2,0,2,1
141,1,0,2,1
142,1,0,2,1
143,1,0,2,1
144,1,0,2,1
145,1,0,2,1
146,1,0,2,1
147,1,0,1,1
148,1,0,1,1
149,1,0,1,1
150,1,0,1,1
