day,infections,hospitalisations,recoveries,deaths
1,1,0,0,0
2,1,0,0,0
3,2,0,0,0
4,2,0,0,0
5,3,0,0,0
6,4,0,0,0
7,5,0,0,0
8,6,1,0,0
9,8,1,0,0
10,10,1,0,0
11,12,1,0,0
12,15,1,0,0
13,20,2,0,0
14,24,2,0,0
15,31,3,0,0
16,41,4,1,0
17,51,5,1,0
18,63,6,1,1
19,82,8,1,0
20,101,10,2,1
21,130,13,2,1
22,165,16,3,1
23,214,21,3,2
24,269,27,4,2
25,337,34,5,3
26,426,43,7,3
27,538,54,8,4
28,684,68,10,5
29,858,86,13,7
30,1079,108,16,8
31,1350,135,20,10
32,1678,168,27,13
33,2089,209,33,16
34,2582,258,42,21
35,3162,316,52,26
36,3853,385,64,32
37,4631,463,79,40
38,5509,551,95,48
39,6484,648,118,58
40,7506,751,142,71
41,8531,853,165,84
42,9524,952,196,98
43,10440,1044,230,114
44,11168,1117,265,132
45,11703,1170,302,149
46,11954,1195,332,167
47,11951,1195,371,184
48,11711,1171,398,197
49,11219,1122,421,211
50,10568,1057,445,221
51,9767,977,458,230
52,8881,888,474,237
53,7952,795,482,240
54,7063,706,482,242
55,6188,619,478,239
56,5408,541,475,237
57,4681,468,459,229
58,4052,405,451,227
59,3502,350,441,218
60,3017,302,425,211
61,2602,260,407,205
62,2249,225,392,192
63,1944,194,372,187
64,1674,167,358,176
65,1464,146,337,170
66,1276,128,318,160
67,1112,111,302,150
68,975,97,286,144
69,855,86,271,135
70,752,75,257,129
71,665,66,240,121
72,587,59,225,115
73,522,52,215,108
74,460,46,201,100
75,411,41,191,95
76,370,37,180,88
77,328,33,163,84
78,295,29,156,78
79,263,26,149,75
80,237,24,139,69
81,212,21,127,63
82,191,19,122,60
83,175,17,113,57
84,158,16,108,53
85,141,14,100,50
86,128,13,93,46
87,116,12,87,44
88,106,11,82,40
89,98,10,75,38
90,88,9,74,36
91,81,8,67,33
92,72,7,63,32
93,65,7,58,29
94,61,6,54,28
95,57,6,51,25
96,50,5,48,23
97,48,5,44,23
98,42,4,42,21
99,40,4,39,19
100,35,4,36,19
